label,subject,body
spam,海外代购促销,大牌美妆买一送一 今日下单再返现 先到先得
spam,信用卡提额,官方绿色通道帮助你快速提额 额度提升五万起
spam,快速办证服务,学历证件资格证都可加急办理 全国可查 包通过
spam,账户冻结通知,尊敬的用户 你的账户已被冻结 请立即输入验证码完成解冻
spam,外汇稳赚项目,跟单老师带你稳定盈利 零基础也能轻松日赚千元
spam,新品试用招募,先交押金即可成为新品体验官 完成任务全额返还
spam,会员续费提醒,您的会员即将失效 现在续费立减80元 点击支付
spam,区块链空投,免费领取数字资产空投 注册钱包即可获得高额奖励
spam,快递理赔通知,包裹运输异常 可申请双倍理赔 请打开网页填写信息
spam,返利平台邀请,购物返现高达90% 现在注册再送现金补贴
spam,春节福利派送,公司为你准备了节日补助 点击专属入口立即领取
spam,中奖验证码,请输入收到的验证码确认领奖 否则资格将在一小时后取消
spam,英文优惠邮件,Limited offer claim your cash bonus now by visiting the secure page
spam,英文钓鱼邮件,Urgent action required your mailbox password expires today click here to keep access
spam,社保补贴申请,国家补贴开放申请 点击页面上传身份证即可领取
spam,医院专家号,内部渠道预约名医号 概率高 不排队 现在联系客服
spam,现金回收,闲置手机笔记本高价回收 先预付定金 当天上门
spam,贷款展期提醒,立即处理贷款展期 否则将影响征信 点击专属通道
spam,独家折扣码,输入优惠码立减500元 仅向幸运用户开放
spam,体验官返佣,成为品牌体验官先付98元押金 完成任务立即返还并额外返佣
spam,外汇开户邀请,专业老师一对一指导外汇开户 跟单操作稳定盈利
spam,海外美妆特卖,海外代购爆款面膜限量开抢 今日下单立返现金
spam,直播带货招生,小白也能学会直播变现 交费即送私教陪跑名额
spam,补贴到账提醒,点击领取你的专项补贴 输入身份证和银行卡即可到账
spam,会员积分清零,你的会员积分将在今晚清零 访问活动页立刻兑换现金券
spam,试用品招募,新品试用官火热招募 支付邮费即可获得高额返现
spam,跟单收益翻倍,名师带单保证收益 每天只需十分钟即可稳定赚钱
spam,免税店内部价,海外大牌内部折扣通道 现在下单再送红包补贴
spam,领取补助资格,你已获得专项补助资格 点击网页完善资料即可提款
spam,学历快速办理,学历证书资格证书快速办理 不成功全额退款 今日加急
spam,信用额度提升,官方内部渠道帮助你极速提额 先测额度再放款
spam,高价上门回收,名表手机电脑高价上门回收 先付定金优先安排师傅
spam,秒批贷款开户,点击开户链接即可秒批贷款 无需面签 无需等待
spam,定金返还活动,现在支付定金即可锁定名额 活动结束后全额返还并送礼品
